gene_symbol	BRCA	TN-BRCA	nonTN-BRCA	EndoR-BRCA
CHN2	Yes	No	Yes	No
CHORDC1	No	Yes	No	No
CHRAC1	No	Yes	No	No
CHRD	Yes	Yes	Yes	No
CHRM1	No	No	Yes	No
CHRM2	No	No	Yes	No
CHRM3	Yes	Yes	Yes	No
CHRM4	Yes	Yes	Yes	No
CHRM5	Yes	No	Yes	No
CHRNB2	Yes	No	No	No
CHST1	No	Yes	No	No
CHST11	Yes	Yes	Yes	No
CHST15	Yes	Yes	Yes	No
CHST2	No	No	Yes	No
CHST8	No	Yes	No	No
CHST9	No	No	Yes	No
CHSY1	Yes	No	No	No
CIDEB	Yes	No	No	No
CIITA	Yes	No	No	Yes
CIRH1A	No	No	Yes	No
CISD3	No	No	No	Yes
CISH	Yes	No	No	Yes
CITED4	No	Yes	No	No
CKM	Yes	No	No	No
CLCF1	Yes	Yes	Yes	No
CLCN2	No	No	Yes	No
CLCN4	No	No	Yes	No
CLDN18	Yes	Yes	Yes	No
CLDN19	Yes	No	No	No
CLDN22	Yes	No	No	No
CLDN6	No	Yes	No	No
CLDN7	Yes	No	No	No
CLEC11A	Yes	Yes	Yes	No
CLEC14A	Yes	No	No	No
CLEC19A	No	Yes	No	No
CLIC3	Yes	No	No	No
CLIC4	Yes	Yes	No	No
CLIC6	Yes	Yes	Yes	No
CLIP2	No	Yes	Yes	No
CLK3	No	No	Yes	No
CLK4	No	No	Yes	No
CLMN	No	Yes	No	No
CLSTN1	No	Yes	No	No
CLTCL1	No	No	Yes	No
CLUAP1	No	Yes	No	No
CLUH	Yes	No	No	No
CLVS1	Yes	No	Yes	No
CLYBL	Yes	No	Yes	No
CMAS	No	Yes	No	No
CMC1	No	No	Yes	No
CMC2	Yes	No	No	No
CMIP	Yes	No	No	No
CMKLR1	Yes	No	No	No
CMTM7	No	No	Yes	No
CMTM8	No	No	Yes	No
CNDP1	Yes	Yes	Yes	No
CNDP2	Yes	Yes	Yes	No
CNEP1R1	Yes	Yes	Yes	No
CNN2	No	No	Yes	No
CNOT11	Yes	No	No	No
CNOT8	No	Yes	No	No
CNR1	Yes	No	No	No
CNTD2	Yes	Yes	Yes	No
CNTN2	No	No	Yes	No
CNTNAP5	Yes	No	No	No
CNTRL	No	No	Yes	No
COA6	No	Yes	No	No
COBL	Yes	No	No	No
COG1	Yes	No	No	No
COG2	No	No	Yes	No
COL11A1	Yes	No	No	No
COL12A1	Yes	Yes	Yes	Yes
COL14A1	No	No	Yes	No
COL18A1	Yes	No	No	No
COL1A1	Yes	Yes	Yes	No
COL22A1	Yes	Yes	Yes	No
COL23A1	No	No	Yes	No
COL24A1	No	Yes	No	No
COL27A1	Yes	Yes	Yes	No
COL3A1	No	No	Yes	No
COL4A1	Yes	No	No	No
COL4A2	Yes	No	No	No
COL5A1	Yes	No	No	No
COL5A3	Yes	No	No	No
COL6A1	Yes	No	No	No
COL6A2	No	No	Yes	No
COL6A5	Yes	No	No	No
COL6A6	Yes	No	No	No
COL9A2	Yes	Yes	Yes	No
COL9A3	Yes	Yes	Yes	No
COLGALT2	Yes	No	No	No
COMMD10	Yes	No	No	No
COMMD3	Yes	No	No	No
COMMD5	No	No	Yes	No
COMMD7	Yes	Yes	No	No
COMTD1	Yes	No	No	No
COQ5	Yes	Yes	No	No
CORIN	Yes	Yes	Yes	No
CORO2B	No	Yes	No	No
CORO6	Yes	Yes	Yes	No
CORO7-PAM16	Yes	Yes	Yes	No
COTL1	Yes	No	No	No
COX20	No	Yes	No	No
COX5A	No	Yes	No	No
CPD	No	No	Yes	No
CPEB3	Yes	No	No	No
CPED1	Yes	No	No	No
